@relation data1

@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 numeric
@attribute A5 numeric
@attribute A6 numeric
@attribute A7 numeric
@attribute A8 numeric
@attribute A9 numeric
@attribute A10 numeric
@attribute A11 numeric
@attribute A12 numeric
@attribute A13 numeric
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 numeric
@attribute A17 numeric
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute class {Negative,Positive}

@data
0.191919,1,0.166667,0.666667,0.155172,0.1,0.1,0.1,0.1,0.1,0.1,0.146612,0.066478,0.086667,0.160242,0.080951,0.261311,0.00031,0.000349,0.000124,0.000491,0.001013,0,0.19192,0.066478,0.066478,0.066478,0.146612,Positive
0.434343,0,0.166667,0.666667,0.206897,0.1,0.4,0.1,0.4,0.1,0.5,0.147525,0.066546,0.08679,0.160296,0.083279,0.262672,0,0.000772,0,0.004472,0,0,0.434343,0.066546,0.066546,0.066546,0.147525,Positive
0.222222,0,0.333333,0.666667,0.189655,0.4,0.2,0.2,0.2,0.4,0.4,0.371222,0.291955,0.21942,0.381658,0.312706,0.434519,0.011657,0.005971,0.021204,0.014654,0,0.031301,0.222223,0.291955,0.291955,0.291955,0.371222,Positive
0.171717,1,0.333333,0.666667,0.206897,0.3,0,0,0,0,0,0.151767,0.068398,0.086839,0.160138,0.080648,0.260979,0.002626,0.000534,0,0,0,0.001495,0.171719,0.068398,0.068398,0.068398,0.151767,Negative
0.191919,0,0.333333,0.333333,0.327586,0.2,0.2,0.5,0.4,0.4,0.4,0.282871,0.229943,0.178804,0.314811,0.253597,0.398141,0.02404,0,0,0.020934,0.016412,0.00222,0.19192,0.229943,0.229943,0.229943,0.282871,Positive
0.060606,1,0.333333,0.666667,0.482759,0.1,0.1,0.1,0.2,0.1,0.2,0.146864,0.066591,0.086768,0.160505,0.081422,0.261278,0.000446,0.000458,0.000009,0.001256,0,0.001876,0.060608,0.066591,0.066591,0.066591,0.146864,Negative
0.040404,1,0.5,0.333333,0.017241,0.4,0.4,0.4,0.4,0.4,0.4,0.182082,0.107441,0.110676,0.202705,0.126472,0.298561,0.004465,0.001128,0.00212,0.00306,0.00844,0,0.040407,0.107441,0.107441,0.107441,0.182082,Negative
0.494949,0,0.166667,0.333333,0.706897,0.3,0,0,0,0.1,0.1,0.146519,0.06622,0.086345,0.160138,0.082612,0.262285,0,0,0,0.00319,0.003986,0.026499,0.494949,0.06622,0.06622,0.06622,0.146519,Negative
0.232323,1,0.166667,0.666667,0.206897,0.2,0.2,0.2,0.2,0.2,0.2,0.237751,0.167679,0.14642,0.265488,0.192424,0.349722,0.006061,0.003266,0.006138,0.006441,0.01055,0.007588,0.232324,0.167679,0.167679,0.167679,0.237751,Negative
0.040404,1,0.5,0.666667,0.689655,0.2,0.2,0.2,0.4,0.4,0.2,0.178556,0.102862,0.109951,0.201578,0.123439,0.295127,0.003434,0.003007,0.002232,0,0.004689,0.003794,0.040407,0.102862,0.102862,0.102862,0.178556,Negative
0.262626,1,0.333333,0.666667,0.224138,0,0,0,0,0,0,0.260333,0.068329,0.091328,0.165247,0.090144,0.267226,0.002544,0.005389,0.006053,0.015422,0.019061,0.038276,0.262628,0.068329,0.068329,0.068329,0.260333,Negative
0.040404,1,0.333333,0.666667,0.034483,0.2,0.2,0.2,0.4,0.2,0.2,0.188126,0.112137,0.112276,0.179456,0.101058,0.27606,0.002449,0.001484,0.000007,0.003221,0.004689,0.003794,0.040406,0.112137,0.112137,0.112137,0.188126,Positive
0.292929,1,0.833333,0.333333,0.5,0.1,0.4,0.1,0.1,0.1,0.2,0.146986,0.066471,0.08649,0.160386,0.081161,0.261384,0,0.000157,0.000295,0.000833,0.000026,0.000501,0.292934,0.066471,0.066471,0.066471,0.146986,Negative
0.222222,1,0.166667,0.666667,0.172414,0.1,0.1,0.1,0.1,0.1,0.1,0.147318,0.067844,0.087054,0.160971,0.081929,0.26159,0.001959,0.000767,0.000988,0.002081,0.001864,0.001963,0.222223,0.067844,0.067844,0.067844,0.147318,Positive
0,1,0.333333,0.333333,0.017241,0.1,0.1,0.1,0.2,0.2,0.2,0.146864,0.066591,0.091373,0.168958,0.088739,0.266782,0.000446,0.005438,0.000781,0.000449,0.002345,0.001518,0.000002,0.066591,0.066591,0.066591,0.146864,Negative
0.222222,1,0.166667,0.666667,0.206897,0,0,0,0,0,0,0.151713,0.077187,0.08643,0.162401,0.082181,0.267061,0.013229,0.000093,0.002682,0.00249,0.018557,0,0.222223,0.077187,0.077187,0.077187,0.151713,Negative
0.131313,1,0.5,0.333333,0.224138,0.2,0.2,0.2,0.2,0.2,0.2,0.268965,0.197942,0.164462,0.293902,0.168932,0.333221,0.005724,0.00475,0.007047,0.005153,0.015005,0.003984,0.131316,0.197942,0.197942,0.197942,0.268965,Negative
0.040404,0,0.333333,0.666667,0.103448,0.3,0.1,0.2,0.2,0.2,0.2,0.145902,0.112026,0.112256,0.205564,0.129647,0.2995,0.057123,0.001069,0.001897,0.00299,0.0058,0.00089,0.040405,0.112026,0.112026,0.112026,0.145902,Negative
0.191919,1,0.166667,0.333333,0.224138,0,0,0,0,0,0,0.146519,0.06622,0.086345,0.160138,0.080648,0.288628,0,0,0,0,0.084353,0.011744,0.19192,0.06622,0.06622,0.06622,0.146519,Negative
0.151515,1,0.166667,0.666667,0.137931,0.2,0.2,0.1,0.2,0.2,0.2,0.158928,0.079719,0.142061,0.255706,0.182642,0.34084,0.00166,0.060267,0.004018,0.005958,0.008909,0.00664,0.151516,0.079719,0.079719,0.079719,0.158928,Negative
0.010101,0,0.333333,0.666667,0.172414,0.7,0.6,0.5,0.6,0.5,0.4,0.165777,0.086288,0.097836,0.179149,0.100317,0.270199,0,0.000326,0,0,0,0,0.010102,0.086288,0.086288,0.086288,0.165777,Negative
0.494949,0,0.166667,0.333333,0.344828,0.4,0.2,0.2,0.2,0.2,0.2,0.646264,0.609857,0.322858,0.572681,0.52408,0.611755,0.022723,0.010212,0.017692,0.027375,0.039857,0.029859,0.494949,0.609857,0.609857,0.609857,0.646264,Positive
0.030303,0,0.333333,0.333333,0.258621,0.2,0.2,0.4,0.4,0.4,0.2,0.177376,0.102283,0.106708,0.197312,0.11902,0.291757,0.004236,0,0.003348,0,0.004689,0.001518,0.030304,0.102283,0.102283,0.102283,0.177376,Negative
0.020202,1,1,0.333333,0.655172,0.2,0.2,0.2,0.2,0.2,0.2,0.173436,0.093003,0.102276,0.167623,0.088694,0.26742,0.001695,0.000758,0.001263,0.000483,0.000938,0.000702,0.020208,0.093003,0.093003,0.093003,0.173436,Negative
0.040404,1,0.333333,0.666667,0.017241,0.2,0.2,0.2,0.2,0.4,0.2,0.157111,0.079929,0.095344,0.176909,0.091424,0.270317,0.003434,0.001484,0.002288,0,0.004689,0.005691,0.040406,0.079929,0.079929,0.079929,0.157111,Negative
0.353535,1,0.166667,0.333333,0.086207,0,0,0,0,0,0,0.147862,0.068823,0.087617,0.162476,0.082051,0.262589,0.003147,0.001379,0.00277,0.002282,0.004912,0.006124,0.353536,0.068823,0.068823,0.068823,0.147862,Negative
0.040404,1,0.5,0.666667,0.482759,0.2,0.2,0.2,0.2,0.2,0.2,0.189798,0.111644,0.098143,0.179367,0.099827,0.27595,0.001919,0.000773,0.000781,0.001126,0.00199,0.001567,0.040407,0.111644,0.111644,0.111644,0.189798,Negative
0.383838,0,0.166667,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.172007,0.107974,0.112442,0.206685,0.131595,0.299911,0.022895,0.002972,0.005587,0.008064,0.007043,0.005702,0.383838,0.107974,0.107974,0.107974,0.172007,Negative
0.111111,1,0.333333,0.333333,0.12069,0.2,0.2,0.2,0.2,0.2,0.2,0.232205,0.141118,0.127144,0.231456,0.157497,0.317804,0.003434,0.002969,0.003348,0.004831,0.009378,0.002846,0.111113,0.141118,0.141118,0.141118,0.232205,Negative
0.353535,0,0.166667,0.666667,0.310345,0.2,0.2,0.2,0.2,0.2,0.2,0.290888,0.209207,0.181523,0.307912,0.145065,0.288867,0.057377,0.029794,0.023,0.048778,0.070619,0.057085,0.353535,0.209207,0.209207,0.209207,0.290888,Negative
0.040404,0,0.333333,0.666667,0.034483,0.2,0.2,0.2,0.2,0.2,0.2,0.191216,0.114126,0.113877,0.20694,0.130476,0.268631,0.002043,0.00139,0.002375,0.000554,0.000842,0.001518,0.040405,0.114126,0.114126,0.114126,0.191216,Negative
0.010101,1,0.166667,0.666667,0.068966,0.4,0.4,0.2,0.2,0.2,0.2,0.162842,0.083169,0.096622,0.17616,0.099211,0.276509,0,0.00102,0.001004,0.003221,0.00422,0,0.010102,0.083169,0.083169,0.083169,0.162842,Positive
0.232323,1,0.5,0.333333,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.353764,0.286081,0.204192,0.355734,0.289249,0.425967,0.01158,0.005433,0.008937,0.012882,0.018777,0.014634,0.232326,0.286081,0.286081,0.286081,0.353764,Positive
0.141414,0,0.333333,0.333333,0.517241,0.4,0.4,0.2,0.2,0.4,0.4,0.161834,0.082103,0.095948,0.183576,0.105664,0.279951,0,0.000789,0.008616,0.001692,0,0.003769,0.141415,0.082103,0.082103,0.082103,0.161834,Positive
0.090909,0,0.5,0.666667,0.051724,0.3,0.4,0.2,0.2,0.2,0.2,0.23533,0.158799,0.122782,0.219401,0.089958,0.265648,0.000122,0.001718,0.002348,0.000502,0.000485,0.003802,0.090911,0.158799,0.158799,0.158799,0.23533,Negative
0.10101,0,0.333333,0.333333,0.517241,0.2,0.2,0.2,0.2,0.2,0.2,0.187192,0.110751,0.112776,0.206614,0.130764,0.301469,0.00229,0.001187,0.002232,0.003221,0.007034,0.003794,0.101011,0.110751,0.110751,0.110751,0.187192,Negative
0.424242,1,0.166667,0.666667,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.375007,0.286609,0.216631,0.386857,0.323916,0.447321,0.01202,0.006115,0.010044,0.013754,0.021227,0.016206,0.424243,0.286609,0.286609,0.286609,0.375007,Positive
0.040404,0,0.333333,0.333333,0.534483,0.2,0.2,0.2,0.2,0.2,0.2,0.18761,0.105406,0.108444,0.174525,0.094757,0.272507,0.002633,0.001187,0.001116,0.00161,0.002345,0.001897,0.040405,0.105406,0.105406,0.105406,0.18761,Negative
0.10101,1,0.166667,0.666667,0.051724,0.2,0.2,0.2,0.2,0.4,0.2,0.182695,0.099843,0.108131,0.201677,0.122832,0.286484,0.00229,0.002969,0.00558,0,0.004689,0.005691,0.101011,0.099843,0.099843,0.099843,0.182695,Negative
0.191919,1,0.333333,0.333333,0.241379,0.3,0.1,0.1,0.4,0.2,0.2,0.19914,0.069039,0.08694,0.160862,0.081097,0.261084,0.009124,0.000653,0,0,0,0,0.191921,0.069039,0.069039,0.069039,0.19914,Negative
0.313131,1,0.166667,0.666667,0.206897,0,0,0,0,0,0,0.148928,0.076698,0.091518,0.160138,0.081838,0.261862,0.012638,0.005594,0,0.001932,0.002696,0,0.313132,0.076698,0.076698,0.076698,0.148928,Negative
0.333333,0,0.166667,0.333333,0.275862,0.1,0.1,0.1,0.1,0.1,0.1,0.154023,0.086647,0.093069,0.160751,0.092651,0.266866,0.024762,0.007308,0.00073,0.019588,0.01805,0.02538,0.333333,0.086647,0.086647,0.086647,0.154023,Negative
0.040404,1,0.5,0.333333,0.448276,0.2,0.2,0.2,0,0,0,0.180949,0.079993,0.086345,0.160138,0.080648,0.260979,0.001145,0,0,0,0,0,0.040407,0.079993,0.079993,0.079993,0.180949,Negative
0.151515,0,0.333333,0.666667,0.189655,0.2,0.2,0.2,0.2,0.2,0.2,0.166434,0.089125,0.1003,0.186698,0.110356,0.298945,0.00229,0.001187,0.003348,0.003221,0.04689,0.003794,0.151516,0.089125,0.089125,0.089125,0.166434,Negative
0.161616,0,0.5,0.666667,0.396552,0.2,0.2,0.2,0.2,0.2,0.2,0.294363,0.228471,0.181077,0.310428,0.216899,0.366015,0.014052,0.005937,0.008938,0.009662,0.070335,0.010096,0.161618,0.228471,0.228471,0.228471,0.294363,Negative
0.050505,1,0.166667,0.666667,0.051724,0.4,0.4,0.4,0.4,0.4,0.5,0.179575,0.105723,0.108666,0.201561,0.12688,0.296014,0.005953,0,0.004464,0.005636,0,0,0.050506,0.105723,0.105723,0.105723,0.179575,Positive
0.242424,1,0.166667,0.666667,0.155172,0.1,0.2,0.2,0.2,0.2,0.1,0.163112,0.086672,0.099484,0.195301,0.106765,0.264695,0.005724,0.002078,0.016801,0.012697,0.011338,0.018316,0.242425,0.086672,0.086672,0.086672,0.163112,Negative
0.070707,0,0.333333,0.666667,0.155172,0.2,0.2,0.2,0,0,0,0.217144,0.144183,0.086345,0.160138,0.080648,0.260979,0.004293,0,0,0,0,0,0.070708,0.144183,0.144183,0.144183,0.217144,Negative
0.161616,1,0.166667,0.333333,0.155172,0.4,0.4,0.4,0.4,0.4,0.4,0.287056,0.219476,0.172861,0.31848,0.250129,0.389294,0.007441,0,0.014508,0.008857,0.002345,0.013279,0.161617,0.219476,0.219476,0.219476,0.287056,Negative
0.191919,0,0.333333,0.333333,0.241379,0.2,0.2,0.4,0.2,0.2,0.4,0.312424,0.256761,0.194469,0.337125,0.181072,0.337352,0.018316,0,0.007199,0.014493,0,0.007588,0.19192,0.256761,0.256761,0.256761,0.312424,Positive
0.070707,1,0.333333,0.333333,0.258621,0.3,0.1,0.1,0.1,0.1,0,0.150721,0.072017,0.087915,0.163225,0.083939,0.261862,0.007006,0.001699,0.003659,0.005345,0.002696,0.002182,0.070709,0.072017,0.072017,0.072017,0.150721,Negative
0.010101,1,0.333333,0.666667,0.017241,0.2,0.2,0.2,0.2,0.2,0.2,0.16241,0.083777,0.097195,0.178796,0.100311,0.276615,0.001521,0.000945,0.000711,0.001127,0.001939,0.000677,0.010103,0.083777,0.083777,0.083777,0.16241,Negative
0.222222,1,0.333333,0.666667,0.275862,0.2,0.2,0.4,0.2,0.2,0.2,0.172258,0.09525,0.097851,0.18052,0.100327,0.270792,0.002404,0.000594,0.001397,0.000805,0.002345,0.001897,0.222224,0.09525,0.09525,0.09525,0.172258,Negative
0.171717,0,0.166667,0.333333,0.310345,0.1,0.1,0.1,0,0,0,0.15102,0.071593,0.086345,0.160138,0.080648,0.260979,0.006488,0,0,0,0,0,0.171717,0.071593,0.071593,0.071593,0.15102,Negative
0.020202,1,0.5,0.333333,0.034483,0.4,0.4,0.4,0.2,0.2,0.4,0.159795,0.081362,0.094805,0.176292,0.098855,0.275518,0.001717,0,0.002232,0.002415,0.002345,0.001328,0.020205,0.081362,0.081362,0.081362,0.159795,Positive
0.494949,0,0.333333,0.333333,0.655172,0.2,0.2,0.2,0.2,0.2,0.2,0.321542,0.257372,0.19939,0.359848,0.293128,0.428712,0.008242,0.00475,0.011171,0.012077,0.017035,0.011796,0.49495,0.257372,0.257372,0.257372,0.321542,Negative
0.111111,0,0.166667,0.666667,0.206897,0.3,0,0,0.1,0.1,0,0.146519,0.06622,0.086345,0.160703,0.080648,0.260979,0,0,0.00067,0,0,0,0.111111,0.06622,0.06622,0.06622,0.146519,Negative
0.313131,0,0.333333,0.666667,0.258621,0.2,0.2,0.2,0.2,0.2,0.2,0.427932,0.37139,0.168735,0.291597,0.195982,0.342854,0.012375,0.002818,0.004733,0.005274,0.007655,0.005435,0.313132,0.37139,0.37139,0.37139,0.427932,Negative
0.323232,1,0.166667,0.333333,0.5,0.1,0.1,0.1,0.1,0,0,0.15437,0.070336,0.087912,0.16173,0.080648,0.262292,0.004974,0.001695,0.001899,0,0.004007,0.000489,0.323233,0.070336,0.070336,0.070336,0.15437,Negative
0.191919,1,0.333333,0.666667,0.103448,0.2,0.2,0.2,0.1,0.1,0.2,0.153497,0.072959,0.089297,0.16532,0.089971,0.268065,0.005151,0.002006,0.006139,0.01514,0.014067,0.010781,0.191921,0.072959,0.072959,0.072959,0.153497,Negative
0.252525,0,0.333333,0.333333,0.310345,0.4,0.2,0.2,0.4,0.2,0.2,0.244325,0.17394,0.149227,0.264733,0.175297,0.335037,0.008025,0.004159,0.000017,0.004831,0.007034,0.005691,0.252526,0.17394,0.17394,0.17394,0.244325,Positive
0.161616,0,0.5,0.333333,0.465517,0.2,0.2,0.2,0.2,0.2,0.2,0.297697,0.229228,0.179937,0.280113,0.206601,0.357301,0.007784,0.004625,0.005119,0.007528,0.010609,0.008531,0.161618,0.229228,0.229228,0.229228,0.297697,Negative
0.040404,0,0.333333,0.666667,0.137931,0.3,0.4,0.4,0.2,0.2,0.4,0.157545,0.079022,0.093475,0.173042,0.096382,0.27287,0.001751,0,0.001377,0.00387,0,0.001349,0.040405,0.079022,0.079022,0.079022,0.157545,Negative
0.050505,1,0.166667,0.666667,0.172414,0.2,0.1,0.4,0.4,0.4,0.4,0.149714,0.067032,0.086406,0.160525,0.080907,0.266124,0.00103,0,0.000335,0,0.015239,0,0.050506,0.067032,0.067032,0.067032,0.149714,Negative
0.191919,1,0.5,0.666667,0.12069,0.3,0,0,0.1,0.1,0.1,0.146519,0.06622,0.086345,0.160424,0.094023,0.266195,0,0,0.000339,0.021721,0.015915,0.000357,0.191922,0.06622,0.06622,0.06622,0.146519,Negative
0.040404,1,0.166667,0.666667,0.051724,0.2,0.2,0.2,0.2,0.2,0.2,0.178261,0.100682,0.106015,0.191067,0.109455,0.282718,0.005724,0.002969,0.006379,0.004831,0.004689,0.002846,0.040405,0.100682,0.100682,0.100682,0.178261,Negative
0.141414,0,0.166667,0.333333,0.362069,0.1,0.1,0.1,0.1,0.1,0.1,0.148923,0.06622,0.086952,0.161384,0.082728,0.260979,0,0.000657,0.001476,0.003378,0,0,0.141414,0.06622,0.06622,0.06622,0.148923,Negative
0.141414,1,0.166667,0.666667,0.155172,0.2,0.2,0.4,0.2,0.1,0.1,0.159689,0.078257,0.087827,0.161551,0.098932,0.26204,0.005618,0,0,0.029692,0.003238,0,0.141415,0.078257,0.078257,0.078257,0.159689,Negative
0.131313,1,0.333333,0.333333,0.362069,0.2,0.2,0.2,0.2,0.2,0.2,0.284616,0.216637,0.174565,0.295967,0.224229,0.374185,0.006582,0.003283,0.007366,0.008213,0.012801,0.010358,0.131315,0.216637,0.216637,0.216637,0.284616,Negative
0.212121,0,0.166667,0.333333,0.413793,0.1,0.1,0.1,0.1,0.1,0.1,0.149576,0.077606,0.08957,0.16053,0.081061,0.261298,0.013738,0.003488,0.000464,0.00067,0.000975,0.000789,0.212121,0.077606,0.077606,0.077606,0.149576,Negative
0.20202,1,0.333333,0.333333,0.206897,0.2,0.2,0.2,0.2,0.2,0.1,0.15428,0.076633,0.098758,0.169709,0.086531,0.264179,0.006869,0.008931,0.00558,0,0.009763,0.001548,0.202022,0.076633,0.076633,0.076633,0.15428,Positive
0.222222,1,0.333333,0.666667,0.155172,0.1,0.1,0.1,0.4,0.1,0.1,0.150013,0.071819,0.088585,0.161961,0.08229,0.262785,0.006753,0.002422,0,0.002667,0.005512,0.006283,0.222224,0.071819,0.071819,0.071819,0.150013,Positive
0.353535,0,0.333333,0.666667,0.155172,0,0.1,0.4,0.4,0,0,0.146519,0.067169,0.086894,0.160138,0.080648,0.260979,0.001145,0,0,0,0,0,0.353536,0.067169,0.067169,0.067169,0.146519,Negative
0.292929,1,0.333333,0.333333,0.310345,0,0,0,0,0,0,0.148308,0.06673,0.086423,0.160756,0.081263,0.261365,0.000615,0.000084,0.000732,0.000998,0.001177,0.000269,0.292931,0.06673,0.06673,0.06673,0.148308,Negative
0.070707,1,0.333333,0.333333,0.362069,0.2,0.2,0,0,0,0,0.173862,0.06622,0.086345,0.160138,0.080648,0.260979,0,0,0,0,0,0,0.070709,0.06622,0.06622,0.06622,0.173862,Positive
0.161616,1,0.333333,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.231968,0.125558,0.134874,0.219926,0.136067,0.300671,0.035007,0.029687,0.027362,0.022936,0.018409,0.009172,0.161618,0.125558,0.125558,0.125558,0.231968,Negative
0.161616,1,0.333333,0.333333,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.30399,0.233397,0.180596,0.221818,0.141366,0.293627,0.008313,0.003317,0.002536,0.004828,0.092188,0.002637,0.161618,0.233397,0.233397,0.233397,0.30399,Negative
0.040404,0,0.333333,0.666667,0.189655,0.2,0.2,0.2,0.2,0.2,0.4,0.190976,0.113813,0.113808,0.202456,0.129898,0.293784,0.006869,0.00475,0.003348,0.014493,0,0.01897,0.040405,0.113813,0.113813,0.113813,0.190976,Positive
0.040404,1,0.166667,0.666667,0.051724,0.2,0.2,0.2,0.2,0.2,0.2,0.176498,0.099637,0.106255,0.195049,0.118271,0.293489,0.002175,0.001139,0.001897,0.002415,0.011723,0,0.040405,0.099637,0.099637,0.099637,0.176498,Positive
0.030303,1,0.333333,0.666667,0.275862,0.3,0.4,0.4,0.4,0.4,0.4,0.153256,0.073189,0.094681,0.173931,0.098878,0.274773,0,0.00475,0,0.006441,0,0.011382,0.030305,0.073189,0.073189,0.073189,0.153256,Positive
0.353535,0,0.5,0.333333,0.258621,0,0,0,0,0,0,0.146716,0.067412,0.08634,0.161871,0.080648,0.260979,0.001438,0,0.002064,0,0,0,0.353537,0.067412,0.067412,0.067412,0.146716,Positive
0.040404,1,0.166667,0.666667,0.017241,0.3,0.4,0.4,0.4,0.2,0.2,0.184225,0.10573,0.11054,0.195363,0.11266,0.286189,0,0.002083,0,0.002097,0.002792,0.00283,0.040405,0.10573,0.10573,0.10573,0.184225,Negative
0.020202,1,0.333333,0.666667,0.017241,0.2,0.2,0.2,0.2,0.2,0.2,0.172578,0.094984,0.100722,0.186229,0.109391,0.283701,0.001605,0.001187,0.002232,0.003221,0.005861,0.003794,0.020204,0.094984,0.094984,0.094984,0.172578,Negative
0.040404,0,0.333333,0.666667,0.37931,0.2,0.2,0.2,0.2,0.2,0.2,0.187749,0.11138,0.113186,0.206386,0.097706,0.274475,0.002024,0.001229,0.001429,0.000992,0.001491,0.001214,0.040405,0.11138,0.11138,0.11138,0.187749,Positive
0,1,0.5,0.333333,0.637931,0.2,0.2,0.2,0.2,0.2,0.2,0.153217,0.07438,0.09161,0.169352,0.09055,0.268028,0.001326,0.000683,0.000374,0.000557,0.000788,0.00251,0.000003,0.07438,0.07438,0.07438,0.153217,Negative
0.464646,1,0.333333,0.666667,0.155172,0.2,0.2,0.2,0.2,0.2,0.2,0.337682,0.259571,0.186013,0.209233,0.128626,0.288202,0.008601,0.003296,0.001988,0.004865,0.007052,0.00572,0.464648,0.259571,0.259571,0.259571,0.337682,Negative
0.020202,1,0.333333,0.333333,0.293103,0.2,0.2,0.2,0.2,0.2,0.4,0.163958,0.086171,0.098467,0.181624,0.106203,0.281236,0.001889,0.001009,0.001562,0.005403,0.002687,0,0.020204,0.086171,0.086171,0.086171,0.163958,Negative
0.141414,1,0.333333,0.666667,0.103448,0.1,0.1,0.1,0.1,0.2,0.2,0.147862,0.067927,0.089474,0.164512,0.150392,0.31316,0.002058,0.003384,0.005183,0.113254,0.007034,0.005691,0.141416,0.067927,0.067927,0.067927,0.147862,Negative
0.141414,0,0.333333,0.333333,0.241379,0.2,0.2,0.2,0.2,0.2,0.2,0.257185,0.179006,0.161976,0.293269,0.225803,0.362892,0.011505,0.017812,0.00558,0.009804,0.012074,0.01897,0.141415,0.179006,0.179006,0.179006,0.257185,Negative
0.080808,0,0.333333,0.666667,0.155172,0.4,0.4,0.4,0.4,0.4,0.2,0.227541,0.130639,0.126053,0.227613,0.148498,0.314413,0,0.003859,0.002902,0,0.00633,0.005691,0.080809,0.130639,0.130639,0.130639,0.227541,Positive
0.242424,1,0.166667,0.666667,0.12069,0.2,0.2,0.2,0.1,0.1,0,0.149821,0.070676,0.09052,0.162887,0.080648,0.260979,0.001145,0.001781,0.003348,0,0,0,0.242425,0.070676,0.070676,0.070676,0.149821,Negative
0.464646,0,0.5,0.666667,0.275862,0.4,0.2,0.2,0.2,0.2,0.2,0.588098,0.535316,0.344733,0.535541,0.467287,0.553997,0.023582,0.011281,0.015624,0.0219,0.031885,0.02561,0.464648,0.535316,0.535316,0.535316,0.588098,Positive
